Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
MUSH;ОАО "Мурманское морское пароходство";30/05/2012;23/04/2012;0;;;;2011;05/05/2012;ДКК;5190400250
ELSL;ОАО "Электросигнал";25/06/2012;18/05/2012;2.17;;;;2011;28/04/2012;Интерфакс;3650001159
MRKU;ОАО "МРСК Урала";14/06/2012;04/05/2012;0.0028;;;;2011;03/05/2012;Интерфакс;6671163413
ZSGP;ОАО "Запсибгазпром";18/05/2012;11/04/2012;0;0;0;0;2011;11/04/2012;Интерфакс;7203001796
BLNG;ОАО "Белон";25/06/2012;11/05/2012;0;;;;2011;10/05/2012;Интерфакс;5410102823
LJAZ;ОАО Лужский абразивный завод;25/04/2012;16/03/2012;10,000;;10,000;;2011;;Интерфакс;4710003532
HMTZ;ОАО "Химико-металлургический завод";08/06/2012;27/04/2012;0;0;;;2011;02/05/2012;Интерфакс;2464003340
UNKL;ОАО "Южно-Уральский никелевый комбинат";18/05/2012;06/04/2012;0;;0;;2011;05/04/2012;Интерфакс;5613000143
UKUZ;ОАО "Угольная Компания "Южный Кузбасс";14/06/2012;28/04/2012;0;;;;2011;03/05/2012;Интерфакс;4214000608
ZMZN;ОАО "Заволжский моторный завод";05/06/2012;17/04/2012;0;0;0;0;2011;16/04/2012;Интерфакс;5248004137
MTLR;ОАО "Мечел";29/06/2012;22/05/2012;8.06;31.28;;;2011;10/05/2012;Интерфакс;7703370008
RTSB;ОАО "Энергосбыт Ростовэнерго";18/05/2012;10/04/2012;0.10015;0.10015;0.10015;0.10015;2011;11/04/2012;Интерфакс;6168002922
RTSB;ОАО "Энергосбыт Ростовэнерго";18/05/2012;10/04/2012;0.03946;0.03946;0.03946;0.03946;1 квартал 2012;11/04/2012;Интерфакс;6168002922
BUNZ;ОАО "Бугульминский электронасосный завод";22/06/2012;04/05/2012;0;2.75;;;2011;04/05/2012;Интерфакс;1645000011
SAGZ;ОАО "Самарагаз";07/06/2012;04/05/2012;;;;;2011;02/05/2012;Интерфакс;6315223001
PMOT;ОАО "Пермские Моторы";07/06/2012;19/04/2012;0;;;;2011;18/04/2012;Интерфакс;5904000814
BLSB;ОАО "Белгородская сбытовая компания";04/06/2012;28/04/2012;0;3.54445;;;2011;28/04/2012;Интерфакс;3123110760
GZAV;ОАО "Газпром Автоматизация" Открытого акционерного общества "Газпром";13/06/2012;05/05/2012;15.7;15.7;;;2011;05/04/2012;Интерфакс;7704028125
KHEL;ОАО "Казанский вертолетный завод";29/06/2012;25/05/2012;10.48;;;;2011;02/05/2012;Интерфакс;1656002652
URKA;ОАО "Уралкалий";07/06/2012;26/04/2012;4;;;;2011;11/04/2012;Интерфакс;5911029807
SOIB;ОАО "Социнвестбанк";29/06/2012;15/05/2012;;;;;2011;28/04/2012;Интерфакс;0274061206
EONR;ОАО "Э.ОН Россия";29/06/2012;14/05/2012;0.05787978807;;;;2011;05/04/2012;Интерфакс;8602067092
OMZZ;ОАО Объединенные Машиностроительные заводы (Гр.Уралмаш-Ижора);06/06/2012;17/04/2012;0;0.012;;;;17/04/2012;Интерфакс;6663059899
SCBK;ОАО "Соломбальский Целлюлозо-бумажный Комбинат";25/05/2012;13/04/2012;0;0;0;0;2011;16/04/2012;Интерфакс;2901008009
MUGS;ОАО "Мурманская ТЭЦ";13/06/2012;05/05/2012;0;0;;;2011;03/05/2012;Интерфакс;5190141373
RTVL;ОАО "Роствертол";02/06/2012;20/04/2012;0.22;;;;2011;02/05/2012;ДКК;6161021690
MOTZ;ОАО "Мотовилихинские заводы";22/06/2012;04/05/2012;0.05;;;;2011;28/04/2012;Интерфакс;5906009273
HYDR;ОАО "Федеральная гидрогенерирующая компания"  (Прежнее: "РусГидро");08/06/2012;23/04/2012;;;;;;17/04/2012;Интерфакс;2460066195
LEGS;ОАО "Ленгазспецстрой";04/06/2012;28/04/2012;25,600;;;;2011;03/05/2012;Интерфакс;7806027191
