Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
NVOG;Новгородоблгаз;19/06/2009;15/05/2009;-;-;94,18;-;2008;18/05/2009;Интерфакс;5321039753
KZRU;Кузбассразрезуголь;09/06/2009;06/05/2009;не выплач.;-;-;-;2008;27/05/2009;ДКК;4205049090
KZOM;Кировский завод по обработке цветных металлов;28/05/2009;12/04/2009;не выплач.;-;не выплач.;-;2008;08/04/2009;Интерфакс;4347000477
KZHB;КЗХ Бирюса;29/05/2009;13/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;04/03/2009;Интерфакс;2451000695
KZFF;Ключевский завод ферросплавов;30/04/2009;24/03/2009;-;-;не выплач.;-;2008;24/03/2009;Интерфакс;6652002273
AAKP;Прогресс им.Сазыкина;19/06/2009;14/05/2009;-;-;не выплач.;-;2008;15/05/2009;Интерфакс;2501002394
KUSB;Курская энергосбытовая компания;09/06/2009;24/04/2009;-;-;не выплач.;не выплач.;2008;14/04/2009;Интерфакс;4632049456
KUB4;Кубанские магистральные сети;11/06/2009;30/04/2009;-;-;-;-;2008;18/05/2009;ДКК;2312130841
KSIN;Синтез (Курган);19/06/2009;05/05/2009;1;1;1;1;2008;27/05/2009;ДКК;4501023743
KRVA;Красный Восток Агро;24/04/2009;06/04/2009;-; -; -; -;2008;14/04/2009;ДКК;1659052612
JNOS;Славнефть-Ярославнефтеоргсинтез;19/06/2009;05/05/2009;-; -;не выплач.;не выплач.;2008;14/04/2009;Интерфакс;7601001107
KRSG;Красноярская ГЭС;16/06/2009;28/04/2009;не выплач.;-;не выплач.;-;2008;16/04/2009;Интерфакс;2446000322
KROG;Кировоблгаз;23/06/2009;14/05/2009;-;-;29;-;2008;29/05/2009;ДКК;4346006589
TVSB;Тверская энергосбытовая компания;19/06/2009;04/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;13/05/2009;Интерфакс;6901068345
KRCL;Кирскабель;30/06/2009;25/05/2009;-;-;не выплач.;не выплач.;2008;18/06/2009;ДКК;4305071483
KPMO;Казанское моторостроительное производственное объединение;23/06/2009;06/05/2009;-;-;6,57 ;-;2008;04/06/2009;ДКК;1657005416
KOSM;Гостиничный комплекс КОСМОС;26/06/2009;08/05/2009;-;-;0,1773;0,7403;2008;04/06/2009;ДКК;7717016198
CHKZ;Челябинский кузнечно-прессовый завод;19/06/2009;05/05/2009;не выплач.; -;не выплач.; -;2008;28/04/2009;Интерфакс;7449006184
KMZA;Курганмашзавод;26/06/2009;11/05/2009;-;-;не выплач.;0,02;2008;27/05/2009;ДКК;4501008142
YRSB;Ярославская сбытовая компания;19/06/2009;08/05/2009;0,761801;0,761801;0,761801;0,761801;2008;13/05/2009;Интерфакс;7606052264
VAZZ;Волжский абразивный завод;19/06/2009;18/05/2009;-;-;95,73;95,73;2008;15/05/2009;Интерфакс;3435000467
KLSB;Калужская сбытовая компания;27/05/2009;09/04/2009;-;-;не выплач.;не выплач.;2008;10/04/2009;Интерфакс;4029030252
KLMZ;Коломенский завод;24/06/2009;14/05/2009;-;-;-;-;2008;29/05/2009;ДКК;5022013517
AFLT;Аэрофлот-российские авиалинии;20/06/2009;05/05/2009;0,1818 ;-;0,1818 ;-;2008;21/04/2009;Интерфакс;7712040126
KLMZ;Коломенский завод;31/07/2009;14/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;;другое;5022013517
KIRT;Шинный комплекс Амтел–Поволжье;30/06/2009;11/05/2009;-;-;не выплач.;-;2008;16/04/2009;Интерфакс;4348001498
KHLB;Курчатовский хлебокомбинат;03/06/2009;30/04/2009;-;-;-;-;2008;15/05/2009;ДКК;4634000470
KHGF;Хантымансийскгеофизика;16/06/2009;18/05/2009;-;-;не выплач.;-;2008;29/05/2009;ДКК;8601001356
ENCO;Сибирьтелеком;20/06/2009;05/05/2009;0,026313;0,052939;0,026313;0,052939;2008;17/04/2009;Интерфакс;5407127828
TGKF;ТГК-6;22/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;Интерфакс;5257072937
SIBN;Газпром нефть;22/06/2009;15/05/2009;-;-;5,4;-;2008;15/05/2009;Интерфакс;5504036333
KGOK;КГОК Ванадий;26/06/2009;21/05/2009;не выплач.;-;не выплач.;-;2008;22/05/2009;Интерфакс;6615001962
KFER;Кузнецкие ферросплавы;02/06/2009;20/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;16/04/2009;Интерфакс;4216001565
KEMZ;Ковровский электромеханический завод;22/05/2009;06/04/2009;не выплач.;3,10;не выплач.;3,10;2008;20/04/2009;Интерфакс;3305004421
OGKC;ОГК-3;22/06/2009;15/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;Интерфакс;326023099
SAGO;Самараэнерго;22/06/2009;18/05/2009;-;-;не выплач.;0,007;2008;18/05/2009;Интерфакс;6315222985
KCIK;КировИскож;21/05/2009;25/04/2009;-;-;не выплач.;-;2008;05/05/2009;ДКК;4348003456
KRGZ;Курскгаз;22/06/2009;13/05/2009;-;-;не выплач.;-;2008;02/06/2009;ДКК;4629015425
LEKZ;Экспериментально-консервный завод Лебедянский;23/06/2009;;не выплач.;-;не выплач.;-;2008;23/04/2009;Интерфакс;4811000739
KABE;Каббалкэнерго;17/06/2009;06/05/2009;-;-;-;-;2008;27/05/2009;ДКК;711008455
IZVS;Известия ;16/06/2009;15/05/2009;-;-;не выплач.;-;2008;27/05/2009;ДКК;7710045545
IRKT;НПК Иркут;22/06/2009;03/05/2009;-;-;-;-;2008;27/05/2009;ДКК;3807002509
TGKG;Волжская территориальная генерирующая компания;23/06/2009;15/05/2009;-;-;0,002505343 ;-;2008;15/05/2009;Интерфакс;6315376946
INKA;Пермское агрегатное объединение Инкар;28/05/2009;09/04/2009;-;-;не выплач.;-;2008;05/05/2009;ДКК;5904000500
INGS;Ингосстрах;29/05/2009;21/04/2009;-;-;0.052;-;2008;30/04/2009;Интерфакс;7705042179
KZBE;Кузбассэнерго;23/06/2009;14/05/2009;-;-;не выплач.;-;2008;15/04/2009;Интерфакс;4200000333
INGC;Инжиниринговый центр;25/06/2009;19/05/2009;-;-;не выплач.;не выплач.;2008;04/06/2009;ДКК;5404262628
NFTM;Нефтемаш;23/06/2009;02/06/2009;не выплач.;10;не выплач.;10;2008;02/06/2009;Интерфакс;7204002810
INCR;Инженерный центр;29/06/2009;01/06/2009;-;-;-;-;2008;09/06/2009;ДКК;5611030632
